kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Vytas NAVICKAS,,1.91%, ,1.89%,3, Ambasada Norvegijos Karalystėje
Nikolajus MANANIKOVAS,, , , , , Ambasada Norvegijos Karalystėje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Norvegijos Karalystėje
Audronė NEKROŠIENĖ,,3.18%, ,3.14%,5, Ambasada Norvegijos Karalystėje
Gintaras SONGAILA,,0.64%, ,0.63%,1, Ambasada Norvegijos Karalystėje
Lilijana ASTRA,,0.64%, ,0.63%,1, Ambasada Norvegijos Karalystėje
Petras RUZGUS,,1.27%, ,1.26%,2, Ambasada Norvegijos Karalystėje
Liudvikas RAGAUSKIS,,1.27%, ,1.26%,2, Ambasada Norvegijos Karalystėje
Janina SLAVINSKAJA,, , , , , Ambasada Norvegijos Karalystėje
Jurijus PIVORIŪNAS,, , , , , Ambasada Norvegijos Karalystėje
Irena DEGUTIENĖ,,46.08%, ,44.76%,47, Ambasada Nyderlandų Karalystėje
Algirdas GRICIUS,,19.61%, ,19.05%,20, Ambasada Nyderlandų Karalystėje
Gintautas BUŽINSKAS,,7.84%, ,7.62%,8, Ambasada Nyderlandų Karalystėje
Marija Aušrinė PAVILIONIENĖ,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Giedrė PURVANECKIENĖ,,11.76%, ,11.43%,12, Ambasada Nyderlandų Karalystėje
Vytas NAVICKAS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Nikolajus MANANIKOVAS,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Tadeuš ANDŽEJEVSKI,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Audronė NEKROŠIENĖ,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Gintaras SONGAILA,, , , , , Ambasada Nyderlandų Karalystėje
Lilijana ASTRA,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Petras RUZGUS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Liudvikas RAGAUSKIS,,1.96%, ,1.90%,2, Ambasada Nyderlandų Karalystėje
Janina SLAVINSKAJA,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Jurijus PIVORIŪNAS,,0.98%, ,0.95%,1, Ambasada Nyderlandų Karalystėje
Irena DEGUTIENĖ,,76.27%,41,76.27%,4, Konsulatas Seinuose
Algirdas GRICIUS,,1.69%,1,1.69%, , Konsulatas Seinuose
Gintautas BUŽINSKAS,,5.08%,3,5.08%, , Konsulatas Seinuose
Marija Aušrinė PAVILIONIENĖ,, , , , , Konsulatas Seinuose
Giedrė PURVANECKIENĖ,,6.78%,4,6.78%, , Konsulatas Seinuose
Vytas NAVICKAS,, , , , , Konsulatas Seinuose
Nikolajus MANANIKOVAS,, , , , , Konsulatas Seinuose
Tadeuš ANDŽEJEVSKI,, , , , , Konsulatas Seinuose
Audronė NEKROŠIENĖ,,3.39%,2,3.39%, , Konsulatas Seinuose
Gintaras SONGAILA,,6.78%,4,6.78%, , Konsulatas Seinuose
Lilijana ASTRA,, , , , , Konsulatas Seinuose
Petras RUZGUS,, , , , , Konsulatas Seinuose
Liudvikas RAGAUSKIS,, , , , , Konsulatas Seinuose
Janina SLAVINSKAJA,, , , , , Konsulatas Seinuose
Jurijus PIVORIŪNAS,, , , , , Konsulatas Seinuose
Irena DEGUTIENĖ,,32.43%,24,31.86%,12, Ambasada Lenkijos Respublikoje
Algirdas GRICIUS,,21.62%,12,21.24%,12, Ambasada Lenkijos Respublikoje
Gintautas BUŽINSKAS,,5.41%,4,5.31%,2, Ambasada Lenkijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,3.60%,2,3.54%,2, Ambasada Lenkijos Respublikoje
Giedrė PURVANECKIENĖ,,5.41%,3,5.31%,3, Ambasada Lenkijos Respublikoje
Vytas NAVICKAS,,0.90%,1,0.88%, , Ambasada Lenkijos Respublikoje
Nikolajus MANANIKOVAS,, , , , , Ambasada Lenkijos Respublikoje
Tadeuš ANDŽEJEVSKI,,20.72%,13,20.35%,10, Ambasada Lenkijos Respublikoje
Audronė NEKROŠIENĖ,,2.70%,1,2.65%,2, Ambasada Lenkijos Respublikoje
Gintaras SONGAILA,, , , , , Ambasada Lenkijos Respublikoje
Lilijana ASTRA,,1.80%,1,1.77%,1, Ambasada Lenkijos Respublikoje
Petras RUZGUS,,0.90%, ,0.88%,1, Ambasada Lenkijos Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Lenkijos Respublikoje
Janina SLAVINSKAJA,,2.70%,3,2.65%, , Ambasada Lenkijos Respublikoje
Jurijus PIVORIŪNAS,,1.80%,1,1.77%,1, Ambasada Lenkijos Respublikoje
Irena DEGUTIENĖ,,19.26%,38,18.14%,40, Ambasada Latvijos Respublikoje
Algirdas GRICIUS,,9.88%,19,9.30%,21, Ambasada Latvijos Respublikoje
Gintautas BUŽINSKAS,,20.25%,20,19.07%,62, Ambasada Latvijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,8.40%,8,7.91%,26, Ambasada Latvijos Respublikoje
Giedrė PURVANECKIENĖ,,9.88%,16,9.30%,24, Ambasada Latvijos Respublikoje
Vytas NAVICKAS,,10.86%,12,10.23%,32, Ambasada Latvijos Respublikoje
Nikolajus MANANIKOVAS,,5.93%,6,5.58%,18, Ambasada Latvijos Respublikoje
Tadeuš ANDŽEJEVSKI,,0.74%,1,0.70%,2, Ambasada Latvijos Respublikoje
Audronė NEKROŠIENĖ,,4.44%,9,4.19%,9, Ambasada Latvijos Respublikoje
Gintaras SONGAILA,,3.46%,6,3.26%,8, Ambasada Latvijos Respublikoje
Lilijana ASTRA,,2.22%,4,2.09%,5, Ambasada Latvijos Respublikoje
Petras RUZGUS,,2.96%,4,2.79%,8, Ambasada Latvijos Respublikoje
Liudvikas RAGAUSKIS,,0.74%,2,0.70%,1, Ambasada Latvijos Respublikoje
Janina SLAVINSKAJA,,0.49%, ,0.47%,2, Ambasada Latvijos Respublikoje
Jurijus PIVORIŪNAS,,0.49%, ,0.47%,2, Ambasada Latvijos Respublikoje
Irena DEGUTIENĖ,,35.38%, ,34.85%,23, Garbės konsulatas Kolumbijos Respublikai
Algirdas GRICIUS,,21.54%, ,21.21%,14, Garbės konsulatas Kolumbijos Respublikai
Gintautas BUŽINSKAS,,3.08%, ,3.03%,2, Garbės konsulatas Kolumbijos Respublikai
Marija Aušrinė PAVILIONIENĖ,,1.54%, ,1.52%,1, Garbės konsulatas Kolumbijos Respublikai
Giedrė PURVANECKIENĖ,,13.85%, ,13.64%,9, Garbės konsulatas Kolumbijos Respublikai
Vytas NAVICKAS,, , , , , Garbės konsulatas Kolumbijos Respublikai
Nikolajus MANANIKOVAS,, , , , , Garbės konsulatas Kolumbijos Respublikai
Tadeuš ANDŽEJEVSKI,, , , , , Garbės konsulatas Kolumbijos Respublikai
Audronė NEKROŠIENĖ,,6.15%, ,6.06%,4, Garbės konsulatas Kolumbijos Respublikai
Gintaras SONGAILA,,18.46%, ,18.18%,12, Garbės konsulatas Kolumbijos Respublikai
Lilijana ASTRA,, , , , , Garbės konsulatas Kolumbijos Respublikai
Petras RUZGUS,, , , , , Garbės konsulatas Kolumbijos Respublikai
Liudvikas RAGAUSKIS,, , , , , Garbės konsulatas Kolumbijos Respublikai
Janina SLAVINSKAJA,, , , , , Garbės konsulatas Kolumbijos Respublikai
Jurijus PIVORIŪNAS,, , , , , Garbės konsulatas Kolumbijos Respublikai
Irena DEGUTIENĖ,,35.00%, ,35.00%,7, Ambasada Kinijos Liaudies Respublikoje
Algirdas GRICIUS,,20.00%, ,20.00%,4, Ambasada Kinijos Liaudies Respublikoje
Gintautas BUŽINSKAS,,10.00%, ,10.00%,2, Ambasada Kinijos Liaudies Respublikoje
Marija Aušrinė PAVILIONIENĖ,, , , , , Ambasada Kinijos Liaudies Respublikoje
Giedrė PURVANECKIENĖ,,20.00%, ,20.00%,4, Ambasada Kinijos Liaudies Respublikoje
Vytas NAVICKAS,, , , , , Ambasada Kinijos Liaudies Respublikoje
Nikolajus MANANIKOVAS,,10.00%, ,10.00%,2, Ambasada Kinijos Liaudies Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Kinijos Liaudies Respublikoje
Audronė NEKROŠIENĖ,, , , , , Ambasada Kinijos Liaudies Respublikoje
Gintaras SONGAILA,,5.00%, ,5.00%,1, Ambasada Kinijos Liaudies Respublikoje
Lilijana ASTRA,, , , , , Ambasada Kinijos Liaudies Respublikoje
Petras RUZGUS,, , , , , Ambasada Kinijos Liaudies Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Kinijos Liaudies Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Kinijos Liaudies Respublikoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Kinijos Liaudies Respublikoje
Irena DEGUTIENĖ,,24.44%, ,24.44%,11, Ambasada Kazachstano Respublikoje
Algirdas GRICIUS,,13.33%, ,13.33%,6, Ambasada Kazachstano Respublikoje
Gintautas BUŽINSKAS,,15.56%, ,15.56%,7, Ambasada Kazachstano Respublikoje
Marija Aušrinė PAVILIONIENĖ,,6.67%, ,6.67%,3, Ambasada Kazachstano Respublikoje
Giedrė PURVANECKIENĖ,,8.89%, ,8.89%,4, Ambasada Kazachstano Respublikoje
Vytas NAVICKAS,,15.56%, ,15.56%,7, Ambasada Kazachstano Respublikoje
Nikolajus MANANIKOVAS,,2.22%, ,2.22%,1, Ambasada Kazachstano Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Kazachstano Respublikoje
Audronė NEKROŠIENĖ,,4.44%, ,4.44%,2, Ambasada Kazachstano Respublikoje
Gintaras SONGAILA,,4.44%, ,4.44%,2, Ambasada Kazachstano Respublikoje
Lilijana ASTRA,,2.22%, ,2.22%,1, Ambasada Kazachstano Respublikoje
Petras RUZGUS,,2.22%, ,2.22%,1, Ambasada Kazachstano Respublikoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Kazachstano Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Kazachstano Respublikoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Kazachstano Respublikoje
Irena DEGUTIENĖ,,85.25%,52,85.25%, , Garbės konsulatas Toronte (Kanada)
Algirdas GRICIUS,, , , , , Garbės konsulatas Toronte (Kanada)
Gintautas BUŽINSKAS,, , , , , Garbės konsulatas Toronte (Kanada)
Marija Aušrinė PAVILIONIENĖ,,1.64%,1,1.64%, , Garbės konsulatas Toronte (Kanada)
Giedrė PURVANECKIENĖ,,1.64%,1,1.64%, , Garbės konsulatas Toronte (Kanada)
Vytas NAVICKAS,, , , , , Garbės konsulatas Toronte (Kanada)
Nikolajus MANANIKOVAS,, , , , , Garbės konsulatas Toronte (Kanada)
Tadeuš ANDŽEJEVSKI,, , , , , Garbės konsulatas Toronte (Kanada)
Audronė NEKROŠIENĖ,,1.64%,1,1.64%, , Garbės konsulatas Toronte (Kanada)
Gintaras SONGAILA,,1.64%,1,1.64%, , Garbės konsulatas Toronte (Kanada)
Lilijana ASTRA,,6.56%,4,6.56%, , Garbės konsulatas Toronte (Kanada)
Petras RUZGUS,, , , , , Garbės konsulatas Toronte (Kanada)
Liudvikas RAGAUSKIS,,1.64%,1,1.64%, , Garbės konsulatas Toronte (Kanada)
Janina SLAVINSKAJA,, , , , , Garbės konsulatas Toronte (Kanada)
Jurijus PIVORIŪNAS,, , , , , Garbės konsulatas Toronte (Kanada)
Irena DEGUTIENĖ,,77.21%, ,76.09%,210, Ambasada Kanadoje
Algirdas GRICIUS,,7.72%, ,7.61%,21, Ambasada Kanadoje
Gintautas BUŽINSKAS,,0.37%, ,0.36%,1, Ambasada Kanadoje
Marija Aušrinė PAVILIONIENĖ,,2.94%, ,2.90%,8, Ambasada Kanadoje
Giedrė PURVANECKIENĖ,,3.31%, ,3.26%,9, Ambasada Kanadoje
Vytas NAVICKAS,,0.74%, ,0.72%,2, Ambasada Kanadoje
Nikolajus MANANIKOVAS,, , , , , Ambasada Kanadoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Kanadoje
Audronė NEKROŠIENĖ,,0.37%, ,0.36%,1, Ambasada Kanadoje
Gintaras SONGAILA,,1.47%, ,1.45%,4, Ambasada Kanadoje
Lilijana ASTRA,,2.21%, ,2.17%,6, Ambasada Kanadoje
Petras RUZGUS,,0.37%, ,0.36%,1, Ambasada Kanadoje
Liudvikas RAGAUSKIS,,2.21%, ,2.17%,6, Ambasada Kanadoje
Janina SLAVINSKAJA,,0.37%, ,0.36%,1, Ambasada Kanadoje
Jurijus PIVORIŪNAS,,0.74%, ,0.72%,2, Ambasada Kanadoje
Irena DEGUTIENĖ,,56.45%, ,55.11%,302, Generalinis konsulatas Niujorke (JAV)
Algirdas GRICIUS,,16.07%, ,15.69%,86, Generalinis konsulatas Niujorke (JAV)
Gintautas BUŽINSKAS,,2.99%, ,2.92%,16, Generalinis konsulatas Niujorke (JAV)
Marija Aušrinė PAVILIONIENĖ,,5.61%, ,5.47%,30, Generalinis konsulatas Niujorke (JAV)
Giedrė PURVANECKIENĖ,,3.74%, ,3.65%,20, Generalinis konsulatas Niujorke (JAV)
Vytas NAVICKAS,,2.24%, ,2.19%,12, Generalinis konsulatas Niujorke (JAV)
Nikolajus MANANIKOVAS,,0.37%, ,0.36%,2, Generalinis konsulatas Niujorke (JAV)
Tadeuš ANDŽEJEVSKI,,0.93%, ,0.91%,5, Generalinis konsulatas Niujorke (JAV)
Audronė NEKROŠIENĖ,,3.36%, ,3.28%,18, Generalinis konsulatas Niujorke (JAV)
Gintaras SONGAILA,,4.30%, ,4.20%,23, Generalinis konsulatas Niujorke (JAV)
Lilijana ASTRA,,0.93%, ,0.91%,5, Generalinis konsulatas Niujorke (JAV)
Petras RUZGUS,,0.37%, ,0.36%,2, Generalinis konsulatas Niujorke (JAV)
Liudvikas RAGAUSKIS,,2.06%, ,2.01%,11, Generalinis konsulatas Niujorke (JAV)
Janina SLAVINSKAJA,, , , , , Generalinis konsulatas Niujorke (JAV)
Jurijus PIVORIŪNAS,,0.56%, ,0.55%,3, Generalinis konsulatas Niujorke (JAV)
Irena DEGUTIENĖ,,58.60%,132,57.73%,645, Generalinis konsulatas Čikagoje (JAV)
Algirdas GRICIUS,,12.52%,26,12.33%,140, Generalinis konsulatas Čikagoje (JAV)
Gintautas BUŽINSKAS,,3.09%,12,3.05%,29, Generalinis konsulatas Čikagoje (JAV)
Marija Aušrinė PAVILIONIENĖ,,4.98%,14,4.90%,52, Generalinis konsulatas Čikagoje (JAV)
Giedrė PURVANECKIENĖ,,5.20%,7,5.13%,62, Generalinis konsulatas Čikagoje (JAV)
Vytas NAVICKAS,,1.58%,2,1.56%,19, Generalinis konsulatas Čikagoje (JAV)
Nikolajus MANANIKOVAS,,0.15%, ,0.15%,2, Generalinis konsulatas Čikagoje (JAV)
Tadeuš ANDŽEJEVSKI,,0.08%, ,0.07%,1, Generalinis konsulatas Čikagoje (JAV)
Audronė NEKROŠIENĖ,,2.56%,7,2.53%,27, Generalinis konsulatas Čikagoje (JAV)
Gintaras SONGAILA,,7.09%,18,6.98%,76, Generalinis konsulatas Čikagoje (JAV)
Lilijana ASTRA,,1.36%,1,1.34%,17, Generalinis konsulatas Čikagoje (JAV)
Petras RUZGUS,,1.36%, ,1.34%,18, Generalinis konsulatas Čikagoje (JAV)
Liudvikas RAGAUSKIS,,1.28%,3,1.26%,14, Generalinis konsulatas Čikagoje (JAV)
Janina SLAVINSKAJA,, , , , , Generalinis konsulatas Čikagoje (JAV)
Jurijus PIVORIŪNAS,,0.15%, ,0.15%,2, Generalinis konsulatas Čikagoje (JAV)
Irena DEGUTIENĖ,,84.85%, ,77.78%,28, Generalinis Garbės konsulatas Los Andžele (JAV)
Algirdas GRICIUS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Gintautas BUŽINSKAS,,3.03%, ,2.78%,1, Generalinis Garbės konsulatas Los Andžele (JAV)
Marija Aušrinė PAVILIONIENĖ,,9.09%, ,8.33%,3, Generalinis Garbės konsulatas Los Andžele (JAV)
Giedrė PURVANECKIENĖ,,3.03%, ,2.78%,1, Generalinis Garbės konsulatas Los Andžele (JAV)
Vytas NAVICKAS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Nikolajus MANANIKOVAS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Tadeuš ANDŽEJEVSKI,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Audronė NEKROŠIENĖ,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Gintaras SONGAILA,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Lilijana ASTRA,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Petras RUZGUS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Liudvikas RAGAUSKIS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Janina SLAVINSKAJA,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Jurijus PIVORIŪNAS,, , , , , Generalinis Garbės konsulatas Los Andžele (JAV)
Irena DEGUTIENĖ,,68.42%, ,68.42%,13, Garbės konsulatas Sietle (JAV)
Algirdas GRICIUS,,21.05%, ,21.05%,4, Garbės konsulatas Sietle (JAV)
Gintautas BUŽINSKAS,, , , , , Garbės konsulatas Sietle (JAV)
Marija Aušrinė PAVILIONIENĖ,, , , , , Garbės konsulatas Sietle (JAV)
Giedrė PURVANECKIENĖ,, , , , , Garbės konsulatas Sietle (JAV)
Vytas NAVICKAS,,5.26%, ,5.26%,1, Garbės konsulatas Sietle (JAV)
Nikolajus MANANIKOVAS,, , , , , Garbės konsulatas Sietle (JAV)
Tadeuš ANDŽEJEVSKI,, , , , , Garbės konsulatas Sietle (JAV)
Audronė NEKROŠIENĖ,,5.26%, ,5.26%,1, Garbės konsulatas Sietle (JAV)
Gintaras SONGAILA,, , , , , Garbės konsulatas Sietle (JAV)
Lilijana ASTRA,, , , , , Garbės konsulatas Sietle (JAV)
Petras RUZGUS,, , , , , Garbės konsulatas Sietle (JAV)
Liudvikas RAGAUSKIS,, , , , , Garbės konsulatas Sietle (JAV)
Janina SLAVINSKAJA,, , , , , Garbės konsulatas Sietle (JAV)
Jurijus PIVORIŪNAS,, , , , , Garbės konsulatas Sietle (JAV)
Irena DEGUTIENĖ,,60.11%, ,59.00%,449, Ambasada Jungtinėse Amerikos Valstijose
Algirdas GRICIUS,,18.61%, ,18.27%,139, Ambasada Jungtinėse Amerikos Valstijose
Gintautas BUŽINSKAS,,1.34%, ,1.31%,10, Ambasada Jungtinėse Amerikos Valstijose
Marija Aušrinė PAVILIONIENĖ,,3.48%, ,3.42%,26, Ambasada Jungtinėse Amerikos Valstijose
Giedrė PURVANECKIENĖ,,5.35%, ,5.26%,40, Ambasada Jungtinėse Amerikos Valstijose
Vytas NAVICKAS,,1.07%, ,1.05%,8, Ambasada Jungtinėse Amerikos Valstijose
Nikolajus MANANIKOVAS,,0.40%, ,0.39%,3, Ambasada Jungtinėse Amerikos Valstijose
Tadeuš ANDŽEJEVSKI,,0.13%, ,0.13%,1, Ambasada Jungtinėse Amerikos Valstijose
Audronė NEKROŠIENĖ,,2.14%, ,2.10%,16, Ambasada Jungtinėse Amerikos Valstijose
Gintaras SONGAILA,,2.54%, ,2.50%,19, Ambasada Jungtinėse Amerikos Valstijose
Lilijana ASTRA,,0.67%, ,0.66%,5, Ambasada Jungtinėse Amerikos Valstijose
Petras RUZGUS,,1.87%, ,1.84%,14, Ambasada Jungtinėse Amerikos Valstijose
Liudvikas RAGAUSKIS,,1.74%, ,1.71%,13, Ambasada Jungtinėse Amerikos Valstijose
Janina SLAVINSKAJA,, , , , , Ambasada Jungtinėse Amerikos Valstijose
Jurijus PIVORIŪNAS,,0.54%, ,0.53%,4, Ambasada Jungtinėse Amerikos Valstijose
Irena DEGUTIENĖ,,47.50%,7,44.19%,12, Ambasada Japonijoje
Algirdas GRICIUS,,20.00%,5,18.60%,3, Ambasada Japonijoje
Gintautas BUŽINSKAS,,10.00%, ,9.30%,4, Ambasada Japonijoje
Marija Aušrinė PAVILIONIENĖ,,5.00%, ,4.65%,2, Ambasada Japonijoje
Giedrė PURVANECKIENĖ,,2.50%, ,2.33%,1, Ambasada Japonijoje
Vytas NAVICKAS,,2.50%,1,2.33%, , Ambasada Japonijoje
Nikolajus MANANIKOVAS,,7.50%,2,6.98%,1, Ambasada Japonijoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Japonijoje
Audronė NEKROŠIENĖ,, , , , , Ambasada Japonijoje
Gintaras SONGAILA,,2.50%,1,2.33%, , Ambasada Japonijoje
Lilijana ASTRA,, , , , , Ambasada Japonijoje
Petras RUZGUS,,2.50%, ,2.33%,1, Ambasada Japonijoje
Liudvikas RAGAUSKIS,, , , , , Ambasada Japonijoje
Janina SLAVINSKAJA,, , , , , Ambasada Japonijoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Japonijoje
Irena DEGUTIENĖ,,18.02%, ,17.70%,20, Ambasada Izraelio valstybėje
Algirdas GRICIUS,,4.50%, ,4.42%,5, Ambasada Izraelio valstybėje
Gintautas BUŽINSKAS,,21.62%, ,21.24%,24, Ambasada Izraelio valstybėje
Marija Aušrinė PAVILIONIENĖ,,3.60%, ,3.54%,4, Ambasada Izraelio valstybėje
Giedrė PURVANECKIENĖ,,19.82%, ,19.47%,22, Ambasada Izraelio valstybėje
Vytas NAVICKAS,,9.01%, ,8.85%,10, Ambasada Izraelio valstybėje
Nikolajus MANANIKOVAS,,1.80%, ,1.77%,2, Ambasada Izraelio valstybėje
Tadeuš ANDŽEJEVSKI,,1.80%, ,1.77%,2, Ambasada Izraelio valstybėje
Audronė NEKROŠIENĖ,,13.51%, ,13.27%,15, Ambasada Izraelio valstybėje
Gintaras SONGAILA,,0.90%, ,0.88%,1, Ambasada Izraelio valstybėje
Lilijana ASTRA,,2.70%, ,2.65%,3, Ambasada Izraelio valstybėje
Petras RUZGUS,, , , , , Ambasada Izraelio valstybėje
Liudvikas RAGAUSKIS,,2.70%, ,2.65%,3, Ambasada Izraelio valstybėje
Janina SLAVINSKAJA,, , , , , Ambasada Izraelio valstybėje
Jurijus PIVORIŪNAS,, , , , , Ambasada Izraelio valstybėje
Irena DEGUTIENĖ,,53.13%, ,51.91%,68, Ambasada Italijos Respublikoje
Algirdas GRICIUS,,18.75%, ,18.32%,24, Ambasada Italijos Respublikoje
Gintautas BUŽINSKAS,,3.13%, ,3.05%,4, Ambasada Italijos Respublikoje
Marija Aušrinė PAVILIONIENĖ,,7.03%, ,6.87%,9, Ambasada Italijos Respublikoje
Giedrė PURVANECKIENĖ,,7.03%, ,6.87%,9, Ambasada Italijos Respublikoje
Vytas NAVICKAS,,1.56%, ,1.53%,2, Ambasada Italijos Respublikoje
Nikolajus MANANIKOVAS,,0.78%, ,0.76%,1, Ambasada Italijos Respublikoje
Tadeuš ANDŽEJEVSKI,, , , , , Ambasada Italijos Respublikoje
Audronė NEKROŠIENĖ,,5.47%, ,5.34%,7, Ambasada Italijos Respublikoje
Gintaras SONGAILA,,1.56%, ,1.53%,2, Ambasada Italijos Respublikoje
Lilijana ASTRA,, , , , , Ambasada Italijos Respublikoje
Petras RUZGUS,,0.78%, ,0.76%,1, Ambasada Italijos Respublikoje
Liudvikas RAGAUSKIS,,0.78%, ,0.76%,1, Ambasada Italijos Respublikoje
Janina SLAVINSKAJA,, , , , , Ambasada Italijos Respublikoje
Jurijus PIVORIŪNAS,, , , , , Ambasada Italijos Respublikoje
Irena DEGUTIENĖ,,6.82%, ,6.52%,3, Balsavimo vieta Almerijoje
Algirdas GRICIUS,,6.82%, ,6.52%,3, Balsavimo vieta Almerijoje
Gintautas BUŽINSKAS,,20.45%, ,19.57%,9, Balsavimo vieta Almerijoje
Marija Aušrinė PAVILIONIENĖ,,2.27%, ,2.17%,1, Balsavimo vieta Almerijoje
Giedrė PURVANECKIENĖ,, , , , , Balsavimo vieta Almerijoje
Vytas NAVICKAS,,43.18%, ,41.30%,19, Balsavimo vieta Almerijoje
Nikolajus MANANIKOVAS,, , , , , Balsavimo vieta Almerijoje
Tadeuš ANDŽEJEVSKI,, , , , , Balsavimo vieta Almerijoje
Audronė NEKROŠIENĖ,,9.09%, ,8.70%,4, Balsavimo vieta Almerijoje
Gintaras SONGAILA,,2.27%, ,2.17%,1, Balsavimo vieta Almerijoje
Lilijana ASTRA,,2.27%, ,2.17%,1, Balsavimo vieta Almerijoje
Petras RUZGUS,,2.27%, ,2.17%,1, Balsavimo vieta Almerijoje
Liudvikas RAGAUSKIS,, , , , , Balsavimo vieta Almerijoje
Janina SLAVINSKAJA,, , , , , Balsavimo vieta Almerijoje
Jurijus PIVORIŪNAS,,4.55%, ,4.35%,2, Balsavimo vieta Almerijoje
Irena DEGUTIENĖ,,40.88%, ,40.58%,56, Ambasada Ispanijos Karalystėje
Algirdas GRICIUS,,11.68%, ,11.59%,16, Ambasada Ispanijos Karalystėje
