kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Irena DEGUTIENĖ,Naujamiesčio (Nr.1) rinkimų apygarda,"65,28%","61,67%",6745,4851
Vytautas BOGUŠIS,Naujamiesčio (Nr.1) rinkimų apygarda,"34,72%","32,80%",4141,2027
Justinas KAROSAS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"50,12%","48,75%",5919,1209
Algirdas ŠAKALYS,Lazdijų - Druskininkų (Nr.71) rinkimų apygarda,"49,88%","48,52%",5620,1475
Algis KAŠĖTA,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"59,57%","58,46%",7025,1675
Leonard TALMONT,Varėnos - Eišiškių (Nr.70) rinkimų apygarda,"40,43%","39,67%",4756,1148
Antanas NEDZINSKAS,Dzūkijos (Nr.69) rinkimų apygarda,"50,25%","47,82%",5356,704
Vidmantas ŽIEMELIS,Dzūkijos (Nr.69) rinkimų apygarda,"49,75%","47,35%",4707,1293
Juozas PALIONIS,Prienų (Nr.67) rinkimų apygarda,"63,12%","60,21%",5711,1228
Vytautas KAMBLEVIČIUS,Prienų (Nr.67) rinkimų apygarda,"36,88%","35,18%",3318,737
Donatas JANKAUSKAS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"65,54%","62,23%",7184,694
Petras MIKELIONIS,Kauno kaimiškoji (Nr.66) rinkimų apygarda,"34,46%","32,73%",3803,340
Justinas URBANAVIČIUS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"55,96%","53,68%",5568,843
Jonas KONDROTAS,Kauno - Kėdainių (Nr.65) rinkimų apygarda,"44,04%","42,25%",4011,1035
Mindaugas BASTYS,Šakių (Nr.64) rinkimų apygarda,"54,62%","53,21%",5033,1135
Jonas ŠIMĖNAS,Šakių (Nr.64) rinkimų apygarda,"45,38%","44,22%",4037,1088
Mantas VARAŠKA,Suvalkijos (Nr.63) rinkimų apygarda,"61,62%","60,34%",6266,1223
Albinas MITRULEVIČIUS,Suvalkijos (Nr.63) rinkimų apygarda,"38,38%","37,58%",3544,1121
Bronius PAUŽA,Jurbarko (Nr.62) rinkimų apygarda,"50,75%","49,13%",4406,1190
Saulius LAPĖNAS,Jurbarko (Nr.62) rinkimų apygarda,"49,25%","47,68%",4268,1163
Julius VESELKA,Ukmergės (Nr.61) rinkimų apygarda,"51,87%","50,66%",5253,1122
Janina GALIAUSKIENĖ,Ukmergės (Nr.61) rinkimų apygarda,"48,13%","47,01%",4663,1253
Rimantas SINKEVIČIUS,Jonavos (Nr.60) rinkimų apygarda,"50,76%","48,84%",4538,577
Arūnas RIMKUS,Jonavos (Nr.60) rinkimų apygarda,"49,24%","47,38%",4420,542
Bronius BRADAUSKAS,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"54,65%","52,98%",5450,1560
Kazimieras UOKA,Kaišiadorių - Elektrėnų (Nr.59) rinkimų apygarda,"45,35%","43,96%",4722,1094
Jonas LIESYS,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"61,61%","58,68%",5041,1038
Dangutė MIKUTIENĖ,Trakų - Elektrėnų (Nr.58) rinkimų apygarda,"38,39%","36,57%",3088,700
Jaroslav NARKEVIČ,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"69,82%","66,90%",7645,1571
Aleksandr SACHARUK,Vilniaus - Trakų (Nr.57) rinkimų apygarda,"30,18%","28,91%",3763,220
Michal MACKEVIČ,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"58,84%","57,32%",8040,2190
Tomas BARANAUSKAS,Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"41,16%","40,09%",6209,946
Valentinas STUNDYS,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"54,90%","53,65%",5435,1296
Kazimira Danutė PRUNSKIENĖ,Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"45,10%","44,07%",4413,1116
Konstantas RAMELIS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"53,08%","50,39%",4197,2073
Juozas ROKAS,Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"46,92%","44,54%",4123,1419
Algimantas DUMBRAVA,Zarasų - Visagino (Nr.52) rinkimų apygarda,"50,88%","49,93%",5371,1263
Dalia ŠTRAUPAITĖ,Zarasų - Visagino (Nr.52) rinkimų apygarda,"49,12%","48,21%",5508,897
Edmundas PUPINIS,Utenos (Nr.51) rinkimų apygarda,"63,06%","61,71%",7284,1256
Valentinas BUBULIS,Utenos (Nr.51) rinkimų apygarda,"36,94%","36,15%",4305,698
Algis KAZULĖNAS,Rokiškio (Nr.50) rinkimų apygarda,"50,95%","49,98%",5093,1078
Vytautas SAULIS,Rokiškio (Nr.50) rinkimų apygarda,"49,05%","48,13%",5040,902
Antanas BAURA,Anykščių - Kupiškio (Nr.49) rinkimų apygarda,"59,60%","58,33%",5944,1443
Arvydas ANUŠAUSKAS,Anykščių - Kupiškio (Nr.49) rinkimų apygarda,"40,40%","39,54%",3841,1167
Valdemaras VALKIŪNAS,Biržų - Kupiškio (Nr.48) rinkimų apygarda,"64,05%","62,00%",6914,1490
Aurimas FRANKAS,Biržų - Kupiškio (Nr.48) rinkimų apygarda,"35,95%","34,80%",3673,1044
Antanas MATULAS,Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,"61,12%","59,84%",7289,1986
Arūnas VALINSKAS,Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,"38,88%","38,07%",5126,775
Jonas JUOZAPAITIS,Pakruojo - Joniškio (Nr.46) rinkimų apygarda,"58,23%","55,63%",5162,1484
Edmundas GRIGALIŪNAS,Pakruojo - Joniškio (Nr.46) rinkimų apygarda,"41,77%","39,91%",3879,889
Rima BAŠKIENĖ,Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,"67,57%","65,08%",6306,1025
Jonas NOVOGRECKIS,Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,"32,43%","31,23%",2988,530
Algimantas SALAMAKINAS,Radviliškio (Nr.44) rinkimų apygarda,"59,82%","56,32%",5511,1204
Zita ŽVIKIENĖ,Radviliškio (Nr.44) rinkimų apygarda,"40,18%","37,83%",3592,918
Virginija BALTRAITIENĖ,Kėdainių (Nr.43) rinkimų apygarda,"61,85%","59,60%",7303,1232
Viktoras MUNTIANAS,Kėdainių (Nr.43) rinkimų apygarda,"38,15%","36,76%",4511,753
Edmundas JONYLA,Raseinių (Nr.42) rinkimų apygarda,"54,78%","53,02%",6426,1542
Remigijus AČAS,Raseinių (Nr.42) rinkimų apygarda,"45,22%","43,77%",5568,1010
Kęstutis MASIULIS,Kelmės (Nr.41) rinkimų apygarda,"55,98%","54,41%",4749,916
Zenonas MAČERNIUS,Kelmės (Nr.41) rinkimų apygarda,"44,02%","42,78%",3549,905
Almantas PETKUS,Telšių (Nr.40) rinkimų apygarda,"51,03%","50,08%",6552,1170
Gediminas VAGNORIUS,Telšių (Nr.40) rinkimų apygarda,"48,97%","48,06%",6362,1048
Saulius BUCEVIČIUS,Akmenės - Joniškio (Nr.39) rinkimų apygarda,"59,89%","55,92%",4812,930
Sigutė MEŠKYTĖ,Akmenės - Joniškio (Nr.39) rinkimų apygarda,"40,11%","37,45%",3124,722
Stanislovas GIEDRAITIS,Mažeikių (Nr.38) rinkimų apygarda,"73,18%","70,06%",7920,681
Jonas JURKUS,Mažeikių (Nr.38) rinkimų apygarda,"26,82%","25,67%",2837,315
Jonas STANEVIČIUS,Skuodo  - Mažeikių (Nr.37) rinkimų apygarda,"65,14%","62,69%",5694,1206
Jonas RAMONAS,Skuodo  - Mažeikių (Nr.37) rinkimų apygarda,"34,86%","33,55%",2999,694
Vaidotas BACEVIČIUS,Kretingos (Nr.36) rinkimų apygarda,"61,16%","59,66%",5824,938
Egidijus KLUMBYS,Kretingos (Nr.36) rinkimų apygarda,"38,84%","37,89%",3692,602
Jonas JAGMINAS,Plungės - Rietavo (Nr.35) rinkimų apygarda,"52,06%","50,62%",6582,935
Jurgis RAZMA,Plungės - Rietavo (Nr.35) rinkimų apygarda,"47,94%","46,62%",5907,1016
Stasys ŠEDBARAS,Tauragės (Nr.34) rinkimų apygarda,"58,01%","56,60%",5755,911
Pranas PETROŠIUS,Tauragės (Nr.34) rinkimų apygarda,"41,99%","40,98%",4039,787
Audrius ENDZINAS,Šilutės - Pagėgių (Nr.32) rinkimų apygarda,"50,98%","49,53%",5497,866
Kęstas KOMSKIS,Šilutės - Pagėgių (Nr.32) rinkimų apygarda,"49,02%","47,63%",4972,1147
Petras GRAŽULIS,Gargždų (Nr.31) rinkimų apygarda,"50,07%","48,52%",5503,948
Dalija ŠEPORAITIENĖ,Gargždų (Nr.31) rinkimų apygarda,"49,93%","48,39%",5342,1091
Zita UŽLYTĖ,Alytaus (Nr.30) rinkimų apygarda,"51,60%","49,03%",5277,342
Julius SABATAUSKAS,Alytaus (Nr.30) rinkimų apygarda,"48,40%","45,98%",4820,450
Algis RIMAS,Marijampolės (Nr.29) rinkimų apygarda,"53,53%","51,52%",4772,551
Arvydas VIDŽIŪNAS,Marijampolės (Nr.29) rinkimų apygarda,"46,47%","44,73%",4081,540
Petras LUOMANAS,Aukštaitijos (Nr.28) rinkimų apygarda,"57,74%","54,64%",6306,769
Alfredas PEKELIŪNAS,Aukštaitijos (Nr.28) rinkimų apygarda,"42,26%","40,00%",4612,567
Arūnė STIRBLYTĖ,Vakarinė (Nr.27) rinkimų apygarda,"50,89%","47,03%",5297,249
Vidmantas URBONAS,Vakarinė (Nr.27) rinkimų apygarda,"49,11%","45,40%",5004,349
Julius DAUTARTAS,Nevėžio (Nr.26) rinkimų apygarda,"56,16%","52,68%",5816,640
Deividas STAPONKUS,Nevėžio (Nr.26) rinkimų apygarda,"43,84%","41,12%",4600,439
Valerijus SIMULIK,Dainų (Nr.25) rinkimų apygarda,"68,23%","64,25%",6229,356
Valentinas MAZURONIS,Dainų (Nr.25) rinkimų apygarda,"31,77%","29,92%",2806,260
Andrius ŠEDŽIUS,Saulės (Nr.24) rinkimų apygarda,"53,53%","46,81%",4153,371
Daiva MATONIENĖ,Saulės (Nr.24) rinkimų apygarda,"46,47%","40,64%",3623,305
Edvardas ŽAKARIS,Aušros (Nr.23) rinkimų apygarda,"74,78%","72,59%",7209,563
Egidijus VAREIKIS,Aušros (Nr.23) rinkimų apygarda,"25,22%","24,48%",2385,236
Pranas ŽEIMYS,Pajūrio (Nr.22) rinkimų apygarda,"51,50%","47,33%",4713,518
Raimundas PALAITIS,Pajūrio (Nr.22) rinkimų apygarda,"48,50%","44,57%",4493,433
Eligijus MASIULIS,Marių (Nr.21) rinkimų apygarda,"55,51%","53,62%",4494,232
Stanislovas TOMAS,Marių (Nr.21) rinkimų apygarda,"44,49%","42,98%",3624,164
Evaldas JURKEVIČIUS,Baltijos (Nr.20) rinkimų apygarda,"56,07%","51,24%",4426,306
Artūras ŠULCAS,Baltijos (Nr.20) rinkimų apygarda,"43,93%","40,15%",3547,161
Vytautas GRUBLIAUSKAS,Danės (Nr.19) rinkimų apygarda,"53,50%","49,50%",5467,335
Nerijus ČAPAS,Danės (Nr.19) rinkimų apygarda,"46,50%","43,03%",4608,435
Vida Marija ČIGRIEJIENĖ,Panemunės (Nr.18) rinkimų apygarda,"64,36%","61,46%",5848,305
Tomas EITUTIS,Panemunės (Nr.18) rinkimų apygarda,"35,64%","34,04%",3251,157
Kazys STARKEVIČIUS,Pramonės (Nr.17) rinkimų apygarda,"65,51%","62,35%",5987,352
Violeta BOREIKIENĖ,Pramonės (Nr.17) rinkimų apygarda,"34,49%","32,82%",3134,203
Kęstutis GLAVECKAS,Dainavos (Nr.16) rinkimų apygarda,"65,00%","61,94%",6148,253
Loreta KUDARIENĖ,Dainavos (Nr.16) rinkimų apygarda,"35,00%","33,36%",3287,160
Arimantas DUMČIUS,Kalniečių (Nr.15) rinkimų apygarda,"64,10%","61,33%",5757,252
Stanislovas BUŠKEVIČIUS,Kalniečių (Nr.15) rinkimų apygarda,"35,90%","34,35%",3255,111
Rasa JUKNEVIČIENĖ,Žaliakalnio (Nr.14) rinkimų apygarda,"63,94%","60,22%",5939,350
Dalia TEIŠERSKYTĖ,Žaliakalnio (Nr.14) rinkimų apygarda,"36,06%","33,96%",3386,161
Vincė Vaidevutė MARGEVIČIENĖ,Centro (Nr.13) rinkimų apygarda,"58,26%","54,93%",5149,445
Erikas TAMAŠAUSKAS,Centro (Nr.13) rinkimų apygarda,"41,74%","39,36%",3706,302
Rytas KUPČINSKAS,Aleksoto -  Vilijampolės (Nr.12) rinkimų apygarda,"57,05%","54,55%",6158,515
Saulius STOMA,Aleksoto -  Vilijampolės (Nr.12) rinkimų apygarda,"42,95%","41,06%",4760,263
Rimantas Jonas DAGYS,Šilainių (Nr.11) rinkimų apygarda,"67,31%","64,25%",7448,392
Erikas KALPOKAS,Šilainių (Nr.11) rinkimų apygarda,"32,69%","31,20%",3661,146
Artūras MELIANAS,Naujosios Vilnios (Nr.10) rinkimų apygarda,"52,52%","50,51%",4680,181
Tadeuš ANDŽEJEVSKI,Naujosios Vilnios (Nr.10) rinkimų apygarda,"47,48%","45,66%",4164,230
Gintaras STEPONAVIČIUS,Lazdynų (Nr.9) rinkimų apygarda,"56,29%","53,58%",6574,237
Algis STRELČIŪNAS,Lazdynų (Nr.9) rinkimų apygarda,"43,71%","41,60%",5090,198
Danutė BEKINTIENĖ,Karoliniškių (Nr.8) rinkimų apygarda,"68,33%","65,30%",9018,321
Henrikas MACKELA,Karoliniškių (Nr.8) rinkimų apygarda,"31,67%","30,27%",4228,101
Paulius SAUDARGAS,Justiniškių (Nr.7) rinkimų apygarda,"54,21%","50,63%",6376,177
Rimantas REMEIKA,Justiniškių (Nr.7) rinkimų apygarda,"45,79%","42,76%",5406,129
Audronius AŽUBALIS,Šeškinės (Nr.6) rinkimų apygarda,"50,24%","47,64%",5654,223
Vilija BLINKEVIČIŪTĖ,Šeškinės (Nr.6) rinkimų apygarda,"49,76%","47,18%",5605,216
Raimondas ŠUKYS,Fabijoniškių (Nr.5) rinkimų apygarda,"51,97%","49,05%",6020,179
Rūta RUTKELYTĖ,Fabijoniškių (Nr.5) rinkimų apygarda,"48,03%","45,33%",5545,184
Vilija ALEKNAITĖ ABRAMIKIENĖ,Žirmūnų (Nr.4) rinkimų apygarda,"60,35%","56,99%",7719,364
Vytenis Povilas ANDRIUKAITIS,Žirmūnų (Nr.4) rinkimų apygarda,"39,65%","37,45%",5125,186
Andrius KUBILIUS,Antakalnio (Nr.3) rinkimų apygarda,"59,49%","56,10%",7183,431
Gintautas BABRAVIČIUS,Antakalnio (Nr.3) rinkimų apygarda,"40,51%","38,19%",4886,298
Mantas ADOMĖNAS,Senamiesčio (Nr.2) rinkimų apygarda,"52,02%","48,97%",5907,362
Artūras ZUOKAS,Senamiesčio (Nr.2) rinkimų apygarda,"47,98%","45,17%",5519,264
